SKU,Main Image URL,Other Image URL1,Other Image URL2,Other Image URL3,Other Image URL4,Other Image URL5,Other Image URL6,Other Image URL7,Other Image URL8,Swatch Image URL
CUPC-U6-LXL,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U6-Main-V0-20240419.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U6-ListingImage-Pic1-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U6-ListingImage-Pic2-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U6-ListingImage-Size-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U6-ListingImage-Pic3-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U6-ListingImage-Pic4-V0.jpg,,,,
CUPC-U6-ML,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U6-Main-V0-20240419.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U6-ListingImage-Pic1-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U6-ListingImage-Pic2-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U6-ListingImage-Size-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U6-ListingImage-Pic3-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U6-ListingImage-Pic4-V0.jpg,,,,
CUPC-U6-SM,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U6-Main-V0-20240419.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U6-ListingImage-Pic1-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U6-ListingImage-Pic2-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U6-ListingImage-Size-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U6-ListingImage-Pic3-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U6-ListingImage-Pic4-V0.jpg,,,,
CUPC-U3-LXL,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U3-Main-V0-20240418.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U3-ListingImage-Pic1-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U3-ListingImage-Pic2-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U3-ListingImage-Size-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U3-ListingImage-Pic3-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U3-ListingImage-Pic4-V0.jpg,,,,
CUPC-U3-ML,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U3-Main-V0-20240418.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U3-ListingImage-Pic1-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U3-ListingImage-Pic2-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U3-ListingImage-Size-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U3-ListingImage-Pic3-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U3-ListingImage-Pic4-V0.jpg,,,,
CUPC-U3-SM,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U3-Main-V0-20240418.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U3-ListingImage-Pic1-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U3-ListingImage-Pic2-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U3-ListingImage-Size-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U3-ListingImage-Pic3-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U3-ListingImage-Pic4-V0.jpg,,,,
CUPC-U19-LXL,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U19-Main-V0-20241010.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U19-ListingImage-Pic1-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U19-ListingImage-Pic2-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U19-ListingImage-Size-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U19-ListingImage-Pic3-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U19-ListingImage-Pic4-V0.jpg,,,,
CUPC-U19-ML,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U19-Main-V0-20241010.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U19-ListingImage-Pic1-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U19-ListingImage-Pic2-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U19-ListingImage-Size-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U19-ListingImage-Pic3-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U19-ListingImage-Pic4-V0.jpg,,,,
CUPC-U19-SM,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U19-Main-V0-20241010.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U19-ListingImage-Pic1-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U19-ListingImage-Pic2-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U19-ListingImage-Size-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U19-ListingImage-Pic3-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U19-ListingImage-Pic4-V0.jpg,,,,
CUPC-U12-LXL,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U12-Main-V0-20240424.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U12-ListingImage-Pic1-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U12-ListingImage-Pic2-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U12-ListingImage-Size-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U12-ListingImage-Pic3-V0.jpg,https://raw.githubusercontent.com/LightsOutTech/assets-library/main/images/U12-ListingImage-Pic4-V0.jpg,,,,
